location_name,location_url_name
A.K.Market,a-k-market
Adarsh Nagar,adarsh-nagar
Alaknanda,alaknanda
Alipur,alipur
Ambedkar Nagar,ambedkar-nagar
Anand Niketan,anand-niketan
